sector,DATE COMMITTED,GRANTEE,AMOUNT COMMITTED,percentage
education,2002.0,Cliffside Park Free Public Library,16995.0,0.02
education,2002.0,Riverdale Public Library District,16983.0,0.02
education,2002.0,Altamont Public Library,16953.0,0.02
education,2002.0,Perth Amboy Free Public Library,16935.0,0.02
education,2002.0,Makah Indian Tribe,16913.0,0.02
education,2002.0,Jerseyville Public Library,16900.0,0.02
education,2002.0,Middletown Public Library,16895.0,0.02
education,2002.0,Haledon Public Library,16885.0,0.02
education,2002.0,Plainfield Free Public Library,16885.0,0.02
education,2002.0,Weehawken Free Public Library,16885.0,0.02
education,2002.0,West Orange Public Library,16885.0,0.02
education,2002.0,Emporia Public Library,16845.0,0.02
education,2002.0,Kankakee Public Library,16845.0,0.02
education,2002.0,Macomb Public Library District,16802.0,0.02
education,2002.0,Hermiston Public Library,16795.0,0.02
education,2002.0,Logan Library,16615.0,0.01
education,2002.0,Fairfield Public Library,16609.0,0.01
education,2002.0,Yankton Community Library,16595.0,0.01
education,2002.0,Pueblo of San Ildefonso,16572.0,0.01
education,2002.0,Richmond Public Library,16564.0,0.01
education,2002.0,Quileute Tribe,16547.0,0.01
education,2002.0,Santaquin Public Library,16495.0,0.01
education,2002.0,Gering Public Library,16390.0,0.01
education,2002.0,Mitchell Public Library,16390.0,0.01
education,2002.0,Lincoln County Library,16360.0,0.01
education,2002.0,Sedro-Wooley Public Library,16355.0,0.01
education,2002.0,Shoalwater Bay Indian Tribe,16325.0,0.01
education,2002.0,Albion Public Library,16313.0,0.01
education,2002.0,Grace Balloch Memorial Library,16295.0,0.01
education,2002.0,Lehighton Area Memorial Library,16250.0,0.01
education,2002.0,Junction City Public Library,16183.0,0.01
education,2002.0,Rainier City Library,16183.0,0.01
education,2002.0,Ottawa Library,16145.0,0.01
education,2002.0,Jefferson County Library District,16105.0,0.01
education,2002.0,Bridgeton Free Public Library,16045.0,0.01
education,2002.0,Driftwood Public Library,16045.0,0.01
education,2002.0,Grand Island Public Library,16045.0,0.01
education,2002.0,Lexington Public Library,16045.0,0.01
education,2002.0,Liberal Memorial Library,16045.0,0.01
education,2002.0,Newberg Public Library,16045.0,0.01
education,2002.0,South Sioux City Public Library,16045.0,0.01
education,2002.0,Springfield Public Library,16045.0,0.01
education,2002.0,Squaxin Island Tribe,16045.0,0.01
education,2002.0,Crab Orchard Public Library District,16038.0,0.01
education,2002.0,Gillespie Public Library,16030.0,0.01
education,2002.0,Pennsauken Free Public Library,16020.0,0.01
education,2002.0,Quinault Indian Nation,16020.0,0.01
education,2002.0,Abilene Public Library,15995.0,0.01
education,2002.0,Alliance Public Library,15995.0,0.01
education,2002.0,American Fork Library,15995.0,0.01
education,2002.0,Asbury Park Free Public Library,15995.0,0.01
education,2002.0,Beatrice Public Library,15995.0,0.01
education,2002.0,Beaverton City Library,15995.0,0.01
education,2002.0,Bradford Memorial Library El Dorado,15995.0,0.01
education,2002.0,Carteret Public Library,15995.0,0.01
education,2002.0,Churchill County Library,15995.0,0.01
education,2002.0,Coos Bay Public Library,15995.0,0.01
education,2002.0,Dallas Public Library,15995.0,0.01
education,2002.0,Dorothy Bramlage Public Library,15995.0,0.01
education,2002.0,Hastings Public Library,15995.0,0.01
education,2002.0,Hays Public Library,15995.0,0.01
education,2002.0,Kalispel Tribe of Indians,15995.0,0.01
education,2002.0,Kearney Public Library And Information Center,15995.0,0.01
education,2002.0,La Grande Public Library,15995.0,0.01
education,2002.0,Lawrence Public Library,15995.0,0.01
education,2002.0,McMinnville Public Library,15995.0,0.01
education,2002.0,Morton-James Public Library,15995.0,0.01
education,2002.0,Mount Vernon City Library,15995.0,0.01
education,2002.0,Murray Library,15995.0,0.01
education,2002.0,North Platte Public Library,15995.0,0.01
education,2002.0,Northwest Indian College Foundation,15995.0,0.01
education,2002.0,Ocean County Library,15995.0,0.01
education,2002.0,Pendleton Public Library,15995.0,0.01
education,2002.0,Price City Library,15995.0,0.01
education,2002.0,Scottsbluff Public Library,15995.0,0.01
education,2002.0,Silver Falls Library District,15995.0,0.01
education,2002.0,Spokane Tribe of Indians,15995.0,0.01
education,2002.0,Springville Public Library,15995.0,0.01
education,2002.0,St. Helens Public Library,15995.0,0.01
education,2002.0,Stillaguamish Tribe of Indians,15995.0,0.01
education,2002.0,Sweet Home Public Library,15995.0,0.01
education,2002.0,Uintah County Library,15995.0,0.01
education,2002.0,Umatilla Public Library,15995.0,0.01
education,2002.0,Winfield Public Library,15995.0,0.01
education,2002.0,Zeigler Public Library,15951.0,0.01
education,2002.0,Williston Community Library,15760.0,0.01
education,2002.0,Confederated Tribes of the Chehalis Reservation,15695.0,0.01
education,2002.0,Molalla Public Library,15695.0,0.01
education,2002.0,Neill Public Library,15695.0,0.01
education,2002.0,Neptune Township Public Library,15695.0,0.01
education,2002.0,Bellwood Public Library,15685.0,0.01
education,2002.0,Grand Forks Public Library,15685.0,0.01
education,2002.0,Maywood Public Library District,15685.0,0.01
education,2002.0,Melrose Park Public Library,15685.0,0.01
education,2002.0,Apollo Memorial Library,15675.0,0.01
education,2002.0,Litchfield Carnegie Public Library,15595.0,0.01
education,2002.0,Frank Bertetti Benld Public Library,15564.0,0.01
education,2002.0,Hershey Public Library,15478.0,0.01
education,2002.0,Monroe Township Free Public Library (Gloucester),15475.0,0.01
education,2002.0,Esmeralda County Library,15465.0,0.01
education,2002.0,Onarga Community Public Library District,15421.0,0.01
education,2002.0,Stanton Public Library,15420.0,0.01
education,2002.0,Dubois Public Library,15381.0,0.01
education,2002.0,Mound City Public Library,15365.0,0.01
education,2002.0,Chicago Heights Free Public Library,15340.0,0.01
education,2002.0,Brookings Public Library,15245.0,0.01
education,2002.0,Harrisburg Public Library District,15245.0,0.01
education,2002.0,R E Rawlins Municipal Library,15245.0,0.01
education,2002.0,South Beloit Public Library,15245.0,0.01
education,2002.0,Venito Garcia Library and Archives,15218.0,0.01
education,2002.0,Berwick Public Library,15205.0,0.01
education,2002.0,Carnegie Free Library,15202.0,0.01
education,2002.0,Mattoon Public Library,15202.0,0.01
education,2002.0,Schmaling Memorial Public Library District,15174.0,0.01
education,2002.0,Bradford Area Public Library,15144.0,0.01
education,2002.0,City of Blue Island Public Library,15133.0,0.01
education,2002.0,"John R Kauffman,  Jr. Public Library",15133.0,0.01
education,2002.0,Uniontown Public Library,15064.0,0.01
education,2002.0,Willamina Public Library,15064.0,0.01
education,2002.0,Waukegan Public Library,15020.0,0.01
others,2002.0,The Exploratorium,15000.0,0.7
others,2002.0,United Nations Association of the USA Inc.,15000.0,0.7
education,2002.0,Adair County Public Library,14995.0,0.01
education,2002.0,Alexander Mitchell Public Library,14995.0,0.01
education,2002.0,Bismarck Veterans Memorial Public Library,14995.0,0.01
education,2002.0,Bloomington Public Library,14995.0,0.01
education,2002.0,Bourbonnais Public Library District,14995.0,0.01
education,2002.0,Bradley Public Library District,14995.0,0.01
education,2002.0,Bryan-Bennett Library,14995.0,0.01
education,2002.0,C E Brehm Memorial Public Library District,14995.0,0.01
education,2002.0,Cahokia Public Library District,14995.0,0.01
education,2002.0,Calumet City Public Library,14995.0,0.01
education,2002.0,Cameron Public Library,14995.0,0.01
education,2002.0,Caseyville Public Library District,14995.0,0.01
education,2002.0,Centralia Public Library,14995.0,0.01
education,2002.0,Charleston Carnegie Public Library,14995.0,0.01
education,2002.0,Christian County Library,14995.0,0.01
education,2002.0,Danville Public Library,14995.0,0.01
education,2002.0,Dekalb Public Library,14995.0,0.01
education,2002.0,Dixon Public Library,14995.0,0.01
education,2002.0,Duquoin Public Library,14995.0,0.01
education,2002.0,Evans Public Library,14995.0,0.01
education,2002.0,Ferguson Municipal Public Library,14995.0,0.01
education,2002.0,Flagg-Rochelle Public Library District,14995.0,0.01
education,2002.0,Flora Public Library,14995.0,0.01
education,2002.0,Galesburg Public Library,14995.0,0.01
education,2002.0,Hannibal Free Public Library,14995.0,0.01
education,2002.0,Herrin City Library,14995.0,0.01
education,2002.0,Hodgkins Public Library District,14995.0,0.01
education,2002.0,Huron Public Library,14995.0,0.01
education,2002.0,Ida Public Library,14995.0,0.01
education,2002.0,Lasalle Public Library,14995.0,0.01
education,2002.0,Leach Public Library,14995.0,0.01
education,2002.0,Lebanon-Laclede County Library,14995.0,0.01
education,2002.0,Livingston County Library,14995.0,0.01
education,2002.0,Mandan Public Library,14995.0,0.01
education,2002.0,Marion Carnegie Library,14995.0,0.01
education,2002.0,Maryville Public Library,14995.0,0.01
education,2002.0,Mascoutah Public Library,14995.0,0.01
education,2002.0,Matson Public Library,14995.0,0.01
education,2002.0,Metropolis Public Library,14995.0,0.01
education,2002.0,Nancy L McConathy Public Library District,14995.0,0.01
education,2002.0,Normal Public Library,14995.0,0.01
education,2002.0,Oglesby Public Library District,14995.0,0.01
education,2002.0,Olney Public Library,14995.0,0.01
education,2002.0,Peru Public Library,14995.0,0.01
education,2002.0,Pontiac Public Library,14995.0,0.01
education,2002.0,Poplar Bluff Public Library,14995.0,0.01
education,2002.0,Rantoul Public Library,14995.0,0.01
education,2002.0,Rapid City Public Library,14995.0,0.01
education,2002.0,Reddick Library,14995.0,0.01
education,2002.0,Rock Falls Public Library District,14995.0,0.01
education,2002.0,Rock Island Public Library,14995.0,0.01
education,2002.0,Sallie Logan Public Library,14995.0,0.01
education,2002.0,Sedalia Public Library,14995.0,0.01
education,2002.0,Shenango Valley Com Library,14995.0,0.01
education,2002.0,Sikeston Public Library,14995.0,0.01
education,2002.0,Silvis Public Library,14995.0,0.01
education,2002.0,Sinte Gleska University Library,14995.0,0.01
education,2002.0,Sitting Bull Library,14995.0,0.01
education,2002.0,Sterling Public Library,14995.0,0.01
education,2002.0,Turtle Mountain Community College Library,14995.0,0.01
education,2002.0,Twin Rivers District Public Library,14995.0,0.01
education,2002.0,University City Public Library,14995.0,0.01
education,2002.0,Vespasian Warner Public Library District,14995.0,0.01
education,2002.0,Webb City Public Library,14995.0,0.01
education,2002.0,Webster County Library,14995.0,0.01
education,2002.0,Kiowa County Library,14922.0,0.01
education,2002.0,Steeleville Area Public Library District,14858.0,0.01
education,2002.0,Lincoln County Library District,14852.0,0.01
education,2002.0,Lyons Public Library,14794.0,0.01
education,2002.0,Atwood-Hammond Public Library District,14700.0,0.01
education,2002.0,Protection Township Library,14173.0,0.01
education,2002.0,Tamaqua Public Library,14170.0,0.01
education,2002.0,Burnley Memorial Library,14160.0,0.01
education,2002.0,McCord Memorial Library,14065.0,0.01
education,2002.0,Galena Public Library,14054.0,0.01
education,2002.0,Bloomfield Public Library,13980.0,0.01
education,2002.0,Imperial Public Library,13924.0,0.01
education,2002.0,St. Elmo Public Library District,13875.0,0.01
education,2002.0,Elgin Public Library,13860.0,0.01
education,2002.0,Ainsworth Public Library,13773.0,0.01
education,2002.0,Cooperstown Public Library,13648.0,0.01
education,2002.0,Chadwick Public Library District,13620.0,0.01
education,2002.0,Cedar County Library,13580.0,0.01
education,2002.0,Fulton County Library,13580.0,0.01
education,2002.0,Mississippi County Library,13580.0,0.01
education,2002.0,Warsaw Public Library,13544.0,0.01
others,2002.0,The Africa-America Institute,13500.0,0.63
education,2002.0,Sugar Grove Free Library,13484.0,0.01
education,2002.0,Eureka Carnegie Library,13466.0,0.01
education,2002.0,Henry County Library,13440.0,0.01
education,2002.0,Crook County Library System,13362.0,0.01
education,2002.0,Lane County Library,13310.0,0.01
education,2002.0,Washington District Library,13294.0,0.01
education,2002.0,Quechan Indian Tribe of the Fort Yuma,13289.0,0.01
education,2002.0,Sublette County Library,13285.0,0.01
education,2002.0,The Dalles-Wasco County Library,13178.0,0.01
education,2002.0,Sweetwater County Library System,13168.0,0.01
education,2002.0,La Harpe Carnegie Public Library District,13158.0,0.01
education,2002.0,Big Horn County Library System,13155.0,0.01
education,2002.0,East Dubuque District Library,13149.0,0.01
education,2002.0,Enterprise Public Library,13147.0,0.01
education,2002.0,Iola Free Public Library|SE KS Library System,13147.0,0.01
education,2002.0,Johnston City Public Library,13125.0,0.01
education,2002.0,Young Men's Library Association,12975.0,0.01
education,2002.0,Jordaan Memorial Library Larned,12896.0,0.01
education,2002.0,Lyndon Carnegie Library,12896.0,0.01
education,2002.0,Battle Creek Public Library,12835.0,0.01
education,2002.0,Grand County Public Library,12835.0,0.01
education,2002.0,Hoh Tribe,12795.0,0.01
education,2002.0,Nyssa Public Library,12783.0,0.01
education,2002.0,Scio Public Library,12745.0,0.01
education,2002.0,Warrenton Community Library,12745.0,0.01
education,2002.0,Sheffield Public Library,12710.0,0.01
education,2002.0,Leonardville Public Library,12707.0,0.01
education,2002.0,Astoria Public Library,12585.0,0.01
education,2002.0,"Corry Public Library, Inc.",12583.0,0.01
education,2002.0,Scappoose Public Library District,12575.0,0.01
education,2002.0,Utah County Bookmobile Headquarters,12575.0,0.01
education,2002.0,Meade Public Library,12535.0,0.01
education,2002.0,Urbana Free Library,12528.0,0.01
education,2002.0,Frank Carlson Library Concordia,12470.0,0.01
education,2002.0,Partridge Public Library,12440.0,0.01
education,2002.0,Paris Carnegie Public Library,12430.0,0.01
education,2002.0,Mary Sommerville Free Library,12429.0,0.01
education,2002.0,Gloucester City Library,12382.0,0.01
education,2002.0,Erie Public Library District,12360.0,0.01
education,2002.0,Chatsworth Township Library,12344.0,0.01
education,2002.0,Bushnell Public Library District,12329.0,0.01
education,2002.0,Garnett Public Library,12285.0,0.01
education,2002.0,Lansing Community Library,12285.0,0.01
education,2002.0,Earl Township Public Library,12274.0,0.01
education,2002.0,Lostant Community Library,12260.0,0.01
education,2002.0,Walnut Public Library District,12210.0,0.01
others,2002.0,Independent Sector,12200.0,0.57
education,2002.0,Goodland Public Library,12185.0,0.01
education,2002.0,Amity Public Library,12175.0,0.01
education,2002.0,Arkansas City Public Library,12175.0,0.01
education,2002.0,Bradley Beach Public Library,12175.0,0.01
education,2002.0,Carbon County Bookmobile Library,12175.0,0.01
education,2002.0,Cedar City Public Library,12175.0,0.01
education,2002.0,Chetco Community Public Library,12175.0,0.01
education,2002.0,Cornelius Public Library,12175.0,0.01
education,2002.0,Gill Memorial Library,12175.0,0.01
education,2002.0,Harrisburg Public Library,12175.0,0.01
education,2002.0,Jamestown S'Klallam Tribe,12175.0,0.01
education,2002.0,Jefferson Public Library,12175.0,0.01
education,2002.0,Leavenworth Public Library,12175.0,0.01
education,2002.0,Library Company of Burlington,12175.0,0.01
education,2002.0,Longview Public Library,12175.0,0.01
education,2002.0,Mary Gilkey City Library,12175.0,0.01
education,2002.0,Monmouth Public Library,12175.0,0.01
education,2002.0,Monroe City Library,12175.0,0.01
education,2002.0,Mt. Angel Public Library,12175.0,0.01
education,2002.0,Nisqually Indian Tribe,12175.0,0.01
education,2002.0,Phillipsburg Public Library,12175.0,0.01
education,2002.0,Pleasant Grove Public Library,12175.0,0.01
education,2002.0,Red Bank Public Library,12175.0,0.01
education,2002.0,Salem Free Public Library,12175.0,0.01
education,2002.0,"Shamokin & Coal Township Public Library, Inc.",12175.0,0.01
education,2002.0,Sheridan Public Library,12175.0,0.01
education,2002.0,Stanfield Public Library,12175.0,0.01
education,2002.0,Stayton Public Library,12175.0,0.01
education,2002.0,Tooele City Public Library,12175.0,0.01
education,2002.0,Vineland Public Library,12175.0,0.01
education,2002.0,Woodbury Public Library,12175.0,0.01
education,2002.0,Yakama Nation,12175.0,0.01
education,2002.0,Lebanon County Library System,12125.0,0.01
education,2002.0,Indiana Free Library,12120.0,0.01
education,2002.0,Creston-Dement Library District,12113.0,0.01
education,2002.0,Clay Center Carnegie Library,12110.0,0.01
education,2002.0,Mineral County Library,12095.0,0.01
education,2002.0,Stutsman County Library,12082.0,0.01
education,2002.0,Malta Township Public Library,12014.0,0.01
education,2002.0,Lewiston Public Library,11960.0,0.01
education,2002.0,South Pekin Public Library,11945.0,0.01
education,2002.0,Schuyler Public Library,11925.0,0.01
education,2002.0,"Pascua Neighborhood Center, Recreation/Library",11924.0,0.01
education,2002.0,Carthage Public Library District,11895.0,0.01
education,2002.0,Atkinson Public Library,11835.0,0.01
education,2002.0,Kaibab Paiute Indians Library,11835.0,0.01
education,2002.0,San Juan County Library,11775.0,0.01
education,2002.0,Daugherty Public Library District,11735.0,0.01
education,2002.0,Greenville Area Public Library Association,11735.0,0.01
education,2002.0,Griggsville Public Library,11717.0,0.01
education,2002.0,James Memorial Library,11695.0,0.01
education,2002.0,Mahanoy City Public Library,11695.0,0.01
education,2002.0,Marshall Public Library,11651.0,0.01
education,2002.0,Summit Public Library District,11651.0,0.01
education,2002.0,Lincoln Carnegie Library,11649.0,0.01
education,2002.0,Oconto Public Library,11649.0,0.01
education,2002.0,Sioux County Public Library,11649.0,0.01
education,2002.0,Toronto Public Library,11649.0,0.01
education,2002.0,Arapahoe Public Library,11638.0,0.01
education,2002.0,Moore Memorial Library District,11625.0,0.01
education,2002.0,Johnston Public Library,11580.0,0.01
education,2002.0,Scandia City Library,11580.0,0.01
education,2002.0,Iron County Bookmobile Library,11560.0,0.01
education,2002.0,Stey-Nevant Public Library,11554.0,0.01
education,2002.0,Oakland Public Library,11549.0,0.01
education,2002.0,Seaside Public Library,11548.0,0.01
education,2002.0,Prescott City Public Library,11540.0,0.01
education,2002.0,Richfield Public Library,11520.0,0.01
education,2002.0,Chillicothe Public Library District,11513.0,0.01
education,2002.0,Juniata County Library,11513.0,0.01
education,2002.0,W. A. Rankin Memorial Library,11511.0,0.01
education,2002.0,Marysville Public Library,11510.0,0.01
education,2002.0,Tooele County Bookmobile Library,11510.0,0.01
education,2002.0,Wamego Public Library,11510.0,0.01
education,2002.0,Eastern Township Library,11495.0,0.01
education,2002.0,Ford City Public Library,11485.0,0.01
education,2002.0,German Masontown Pub Library,11485.0,0.01
education,2002.0,Highwood Public Library,11485.0,0.01
education,2002.0,Fossil Public Library,11478.0,0.01
education,2002.0,Centreville Public Library,11444.0,0.01
education,2002.0,Park Hills Public Library,11444.0,0.01
education,2002.0,Franklin Public Library,11420.0,0.01
education,2002.0,House Memorial Library,11420.0,0.01
education,2002.0,Ravenna Public Library,11410.0,0.01
education,2002.0,Waitsburg (Weller) Library,11399.0,0.01
education,2002.0,Adams County Library System,11375.0,0.01
education,2002.0,Alfred Dickey Public Library,11375.0,0.01
education,2002.0,Blairsville Public Library,11375.0,0.01
education,2002.0,Bloomsburg Public Library,11375.0,0.01
education,2002.0,Burrell Township Library,11375.0,0.01
education,2002.0,Campbell County Public Library,11375.0,0.01
education,2002.0,Cape Girardeau Public Library,11375.0,0.01
education,2002.0,Caruthersville Public Library,11375.0,0.01
education,2002.0,De Soto Public Library,11375.0,0.01
education,2002.0,Dimmick Memorial Library,11375.0,0.01
education,2002.0,Dolton Public Library District,11375.0,0.01
education,2002.0,East Alton Public Library District,11375.0,0.01
education,2002.0,East St. Louis Public Library,11375.0,0.01
education,2002.0,Farmington Public Library,11375.0,0.01
education,2002.0,Festus Public Library,11375.0,0.01
education,2002.0,Freeport Public Library,11375.0,0.01
education,2002.0,Granite City Public Library District,11375.0,0.01
education,2002.0,Hudson Area Public Library District,11375.0,0.01
education,2002.0,Jacksonville Public Library,11375.0,0.01
education,2002.0,Joplin Public Library,11375.0,0.01
education,2002.0,Margaret R. Grundy Memorial Library,11375.0,0.01
education,2002.0,Morton County  Library,11375.0,0.01
education,2002.0,"Mount Pleasant Free Library Association, Inc.",11375.0,0.01
education,2002.0,Parlin-Ingersoll Public Library,11375.0,0.01
education,2002.0,Rick Warren Memorial Public Library,11375.0,0.01
education,2002.0,Staunton Public Library,11375.0,0.01
education,2002.0,Streator Public Library,11375.0,0.01
education,2002.0,Taneyhills Community Library,11375.0,0.01
education,2002.0,Village of Washington Park Public Library,11375.0,0.01
education,2002.0,Westville Public Library District,11375.0,0.01
education,2002.0,Wood River Public Library,11375.0,0.01
education,2002.0,Wyomissing Public Library,11375.0,0.01
education,2002.0,Zion-Benton Public Library District,11375.0,0.01
education,2002.0,Sidney Public Library,11258.0,0.01
education,2002.0,District of Columbia Public Library,11250.0,0.01
education,2002.0,Margaret Fraase Public Library,11229.0,0.01
education,2002.0,Oskaloosa Public Library,11220.0,0.01
education,2002.0,Sargent Township Library,11220.0,0.01
education,2002.0,Wymore Public Library,11217.0,0.01
education,2002.0,Arthur Public Library District,11210.0,0.01
education,2002.0,Weeping Water Public Library,11210.0,0.01
education,2002.0,Cravath Memorial Library,11189.0,0.01
education,2002.0,Kinsley Library,11185.0,0.01
education,2002.0,Columbus Public Library,11180.0,0.01
education,2002.0,Wauneta Public Library,11148.0,0.01
education,2002.0,Hastings Memorial Library,11145.0,0.01
education,2002.0,Council Grove Public Library,11120.0,0.01
education,2002.0,Echo Public Library,11120.0,0.01
education,2002.0,Niobrara Public Library,11120.0,0.01
education,2002.0,Ord Township Library,11120.0,0.01
education,2002.0,Osborne Public Library,11120.0,0.01
education,2002.0,Seneca Free Library,11120.0,0.01
education,2002.0,Coquille Public Library,11079.0,0.01
education,2002.0,Fairmont Public Library,11079.0,0.01
education,2002.0,Laurel Community Learning Center,11079.0,0.01
education,2002.0,Pawnee City Carnegie Public Library,11079.0,0.01
education,2002.0,Randolph Public Library,11079.0,0.01
education,2002.0,Custer County Library,11058.0,0.01
education,2002.0,Greeley County Public Library,11035.0,0.01
education,2002.0,Hamilton County Public Library,11035.0,0.01
education,2002.0,Horton Public Library,11035.0,0.01
education,2002.0,John A. Stahl Library,11035.0,0.01
education,2002.0,Ocean Shores Public Library,11035.0,0.01
education,2002.0,Shelton Township Library,11035.0,0.01
education,2002.0,Stanton County Public Library,11035.0,0.01
education,2002.0,Stevens County Library,11035.0,0.01
education,2002.0,Waldport Public Library,11035.0,0.01
education,2002.0,Arma City Library,11010.0,0.01
education,2002.0,Bandon Public Library,11010.0,0.01
education,2002.0,Beck-Bookman Library,11010.0,0.01
education,2002.0,Bern Community Library,11010.0,0.01
education,2002.0,Britton City Library,11010.0,0.01
education,2002.0,Butler Memorial Library,11010.0,0.01
education,2002.0,Carbondale City Library,11010.0,0.01
education,2002.0,Carpenter Memorial Library,11010.0,0.01
education,2002.0,Clarkson Public Library,11010.0,0.01
education,2002.0,Curry Public Library District,11010.0,0.01
education,2002.0,Delta City Library,11010.0,0.01
education,2002.0,Ellinwood School-Community Library,11010.0,0.01
education,2002.0,Fairbury Public Library,11010.0,0.01
education,2002.0,Flora M. Laird Memorial Library,11010.0,0.01
education,2002.0,Girard Public Library,11010.0,0.01
education,2002.0,Harney County Library,11010.0,0.01
education,2002.0,Hebron Secrest Library,11010.0,0.01
education,2002.0,Helper City Library,11010.0,0.01
education,2002.0,Hruska Memorial Public Library,11010.0,0.01
education,2002.0,Humboldt Public Library,11010.0,0.01
education,2002.0,John Rogers Memorial Library,11010.0,0.01
education,2002.0,Kanab City Library,11010.0,0.01
education,2002.0,Karlen Memorial Library,11010.0,0.01
education,2002.0,Mary Cotton Public Library Sabetha,11010.0,0.01
education,2002.0,NE Indian Community College Lib-Santee Tribal Lib,11010.0,0.01
education,2002.0,NE Indian Community College/Public Library,11010.0,0.01
education,2002.0,Nortonville Public Library,11010.0,0.01
education,2002.0,Pershing County Library,11010.0,0.01
education,2002.0,Phillipsburg City Library,11010.0,0.01
education,2002.0,Ponca Public Library,11010.0,0.01
education,2002.0,Rock County Public Library,11010.0,0.01
education,2002.0,Roslyn Public Library,11010.0,0.01
education,2002.0,Russell Public Library,11010.0,0.01
education,2002.0,Sherman County Public/School Library,11010.0,0.01
education,2002.0,Summit County Library System,11010.0,0.01
education,2002.0,Wolbach Library,11010.0,0.01
education,2002.0,Yates Center Public Library,11010.0,0.01
education,2002.0,Sisseton Memorial Library,10948.0,0.01
education,2002.0,Duchesne County Library System,10885.0,0.01
education,2002.0,Howard Public Library,10885.0,0.01
education,2002.0,Mineral-Gold Public Library District,10868.0,0.01
education,2002.0,Farmington Public Library District,10830.0,0.01
education,2002.0,Waterville Public Library,10827.0,0.01
education,2002.0,Sheffield Township Library,10815.0,0.01
education,2002.0,Farmersville-Waggoner Public Library District,10770.0,0.01
education,2002.0,Niobrara County Library,10770.0,0.01
education,2002.0,Kinmundy Public Library,10628.0,0.01
education,2002.0,Savanna Public Library District,10620.0,0.01
education,2002.0,Martinsville Public Library District,10617.0,0.01
education,2002.0,Cameron County Public Library,10520.0,0.01
education,2002.0,Ford Heights Public Library District,10479.0,0.01
education,2002.0,Sparta Public Library,10479.0,0.01
education,2002.0,Worth County Library,10479.0,0.01
education,2002.0,Adams County Library,10410.0,0.01
education,2002.0,Alcester Community Library,10410.0,0.01
education,2002.0,Arcola Public Library District,10410.0,0.01
education,2002.0,Astoria Public Library District,10410.0,0.01
education,2002.0,Case-Halstead Public Library,10410.0,0.01
education,2002.0,Central Citizens' Library District,10410.0,0.01
education,2002.0,Dakota Valley/ North Sioux City School/Community Library,10410.0,0.01
education,2002.0,Deubrook Community Library,10410.0,0.01
education,2002.0,Dry Point Township Library,10410.0,0.01
education,2002.0,Eldorado Memorial Public Library District,10410.0,0.01
education,2002.0,Galva Public Library District,10410.0,0.01
education,2002.0,Havana Public Library District,10410.0,0.01
education,2002.0,Henderson County Public Library District,10410.0,0.01
education,2002.0,Herrick Township Public Library,10410.0,0.01
education,2002.0,Hoopeston Public Library District,10410.0,0.01
education,2002.0,Howard County District Library,10410.0,0.01
education,2002.0,John Mosser Public Library District,10410.0,0.01
education,2002.0,Marissa Area Public Library District,10410.0,0.01
education,2002.0,Mountain View Public Library,10410.0,0.01
education,2002.0,North Kansas City Public Library,10410.0,0.01
education,2002.0,Palmyra Bicentennial Public Library,10410.0,0.01
education,2002.0,Piedmont Public Library,10410.0,0.01
education,2002.0,Roxana Public Library District,10410.0,0.01
education,2002.0,Samuel W Smith Mem Pub Library,10410.0,0.01
education,2002.0,Seymour Community Library,10410.0,0.01
education,2002.0,St. Clair County Library,10410.0,0.01
education,2002.0,Sullivan County Library,10410.0,0.01
education,2002.0,Toulon Public Library District,10410.0,0.01
education,2002.0,Tuscola Public Library,10410.0,0.01
education,2002.0,Valley City-Barnes County Public Library,10410.0,0.01
education,2002.0,Velva School & Public Library,10410.0,0.01
education,2002.0,Watseka Public Library,10410.0,0.01
education,2002.0,West Sangamon Public Library District,10410.0,0.01
education,2002.0,Research Foundation for the State University of New York,10200.0,0.01
education,2002.0,Ephraim Public Library,10190.0,0.01
others,2002.0,Fred Hutchinson Cancer Research Center,10000.0,0.47
others,2002.0,University of Washington Foundation,10000.0,0.47
education,2002.0,Odell Public Library District,9939.0,0.01
education,2002.0,Kent State University,9888.0,0.01
education,2002.0,Wetmore Public Library,9790.0,0.01
others,2002.0,College Success Foundation,9750.0,0.46
education,2002.0,Plainview Carnegie Library,9652.0,0.01
education,2002.0,McDowell County Public Library,9625.0,0.01
education,2002.0,Tonto Apache Tribal Office,9500.0,0.01
education,2002.0,Lower Elwha Klallam Tribe,9420.0,0.01
education,2002.0,Joseph R Palmer Family Memorial Library,9404.0,0.01
education,2002.0,Pascua Yaqui Tribal Complex - Guadalupe Office,9295.0,0.01
education,2002.0,Osceola Public Library,9235.0,0.01
education,2002.0,Hazel M. Lewis Library,9155.0,0.01
education,2002.0,Grey Hills High School Tribal Administration Office,9150.0,0.01
education,2002.0,Kimball Public Library,9149.0,0.01
education,2002.0,Newman Township Library,9143.0,0.01
education,2002.0,"University of California, Santa Barbara",9100.0,0.01
education,2002.0,Howard City Library,9044.0,0.01
education,2002.0,Mound Valley Public Library,9044.0,0.01
others,2002.0,King County Library System Foundation,9040.0,0.42
education,2002.0,Joseph City Library,8985.0,0.01
education,2002.0,"Barnard Library, La Crosse",8975.0,0.01
education,2002.0,Hamilton City Library,8975.0,0.01
education,2002.0,Pleasanton Lincoln Library,8975.0,0.01
education,2002.0,Sylvan Grove Public Library,8975.0,0.01
education,2002.0,Oak Park Public Library,8954.0,0.01
